0.01.958.052 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.964.256 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.01.964.263 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.01.964.407 I srv          init: The UI is disabled
0.01.964.408 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.01.964.530 W srv  llama_server: -----------------
0.01.964.536 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.964.536 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.964.536 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.964.537 W srv  llama_server: -----------------
0.01.971.163 I srv    load_model: loading model 'C:/Projelerim/modeller/e5-small-alt-q8_0.gguf'
0.03.821.203 W load: model vocab missing newline token, using special_pad_id instead
0.03.962.743 W llama_context: n_ctx_seq (512) > n_ctx_train (511) -- possible training context overflow
0.03.966.368 I cmn          init: llama threadpool init, n_threads = 12
0.03.989.397 W srv    load_model: the slot context (512) exceeds the training context of the model (511) - capping
0.03.989.407 W srv    load_model: speculative decoding not supported by this context
0.03.989.408 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 511, kv_unified = 'true'
0.03.994.748 I srv  llama_server: model loaded
0.03.994.760 I srv  llama_server: listening on http://127.0.0.1:8093
0.04.669.283 I slot      release: id  3 | task 112 | stop processing: n_tokens = 17, truncated = 0
0.04.671.163 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2692198
0.04.671.179 I slot launch_slot_: id  2 | task 114 | processing task, is_child = 0
0.04.676.468 I slot      release: id  2 | task 114 | stop processing: n_tokens = 15, truncated = 0
0.04.689.276 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2699192
0.04.689.292 I slot launch_slot_: id  1 | task 116 | processing task, is_child = 0
0.04.695.232 I slot      release: id  1 | task 116 | stop processing: n_tokens = 17, truncated = 0
0.04.697.600 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2706758
0.04.697.616 I slot launch_slot_: id  0 | task 118 | processing task, is_child = 0
0.04.702.978 I slot      release: id  0 | task 118 | stop processing: n_tokens = 18, truncated = 0
0.04.705.361 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2714717
0.04.705.377 I slot launch_slot_: id  3 | task 120 | processing task, is_child = 0
0.04.712.498 I slot      release: id  3 | task 120 | stop processing: n_tokens = 23, truncated = 0
0.04.714.391 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2721902
0.04.714.404 I slot launch_slot_: id  2 | task 122 | processing task, is_child = 0
0.04.719.904 I slot      release: id  2 | task 122 | stop processing: n_tokens = 16, truncated = 0
0.04.747.132 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2740664
0.04.747.147 I slot launch_slot_: id  1 | task 124 | processing task, is_child = 0
0.04.753.482 I slot      release: id  1 | task 124 | stop processing: n_tokens = 23, truncated = 0
0.04.755.757 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2748411
0.04.755.764 I slot launch_slot_: id  0 | task 126 | processing task, is_child = 0
0.04.770.168 I slot      release: id  0 | task 126 | stop processing: n_tokens = 24, truncated = 0
0.04.782.018 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2757932
0.04.782.032 I slot launch_slot_: id  3 | task 128 | processing task, is_child = 0
0.04.788.063 I slot      release: id  3 | task 128 | stop processing: n_tokens = 21, truncated = 0
0.04.790.007 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2765337
0.04.790.021 I slot launch_slot_: id  2 | task 130 | processing task, is_child = 0
0.04.795.597 I slot      release: id  2 | task 130 | stop processing: n_tokens = 19, truncated = 0
0.04.797.971 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2798916
0.04.797.983 I slot launch_slot_: id  1 | task 132 | processing task, is_child = 0
0.04.804.372 I slot      release: id  1 | task 132 | stop processing: n_tokens = 21, truncated = 0
0.04.806.674 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2815599
0.04.806.690 I slot launch_slot_: id  0 | task 134 | processing task, is_child = 0
0.04.812.576 I slot      release: id  0 | task 134 | stop processing: n_tokens = 19, truncated = 0
0.04.815.112 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2833494
0.04.815.123 I slot launch_slot_: id  3 | task 136 | processing task, is_child = 0
0.04.820.786 I slot      release: id  3 | task 136 | stop processing: n_tokens = 17, truncated = 0
0.04.823.517 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2841030
0.04.823.533 I slot launch_slot_: id  2 | task 138 | processing task, is_child = 0
0.04.830.816 I slot      release: id  2 | task 138 | stop processing: n_tokens = 22, truncated = 0
0.04.833.135 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2849804
0.04.833.152 I slot launch_slot_: id  1 | task 140 | processing task, is_child = 0
0.04.839.763 I slot      release: id  1 | task 140 | stop processing: n_tokens = 21, truncated = 0
0.04.842.209 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2858009
0.04.842.222 I slot launch_slot_: id  0 | task 142 | processing task, is_child = 0
0.04.848.952 I slot      release: id  0 | task 142 | stop processing: n_tokens = 22, truncated = 0
0.04.851.376 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2866220
0.04.851.387 I slot launch_slot_: id  3 | task 144 | processing task, is_child = 0
0.04.858.168 I slot      release: id  3 | task 144 | stop processing: n_tokens = 20, truncated = 0
0.04.870.694 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2876251
0.04.870.707 I slot launch_slot_: id  2 | task 146 | processing task, is_child = 0
