0.00.165.527 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.169.892 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.169.897 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.170.000 I srv          init: The UI is disabled
0.00.170.000 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.170.090 W srv  llama_server: -----------------
0.00.170.094 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.170.094 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.170.095 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.170.095 W srv  llama_server: -----------------
0.00.186.198 I srv    load_model: loading model 'C:/Projelerim/modeller/bge-m3-q4_k_m.gguf'
0.01.505.963 W load: model vocab missing newline token, using special_pad_id instead
0.01.712.785 I cmn          init: llama threadpool init, n_threads = 12
0.01.741.798 W srv    load_model: speculative decoding not supported by this context
0.01.741.809 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.01.745.886 I srv  llama_server: model loaded
0.01.745.896 I srv  llama_server: listening on http://127.0.0.1:8123
0.03.596.669 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3357414
0.03.596.679 I slot launch_slot_: id  1 | task 124 | processing task, is_child = 0
0.03.617.488 I slot      release: id  1 | task 124 | stop processing: n_tokens = 14, truncated = 0
0.03.619.969 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3391501
0.03.619.978 I slot launch_slot_: id  0 | task 126 | processing task, is_child = 0
0.03.637.375 I slot      release: id  0 | task 126 | stop processing: n_tokens = 12, truncated = 0
0.03.639.832 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3412018
0.03.639.843 I slot launch_slot_: id  3 | task 128 | processing task, is_child = 0
0.03.657.048 I slot      release: id  3 | task 128 | stop processing: n_tokens = 12, truncated = 0
0.03.659.486 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3431421
0.03.659.497 I slot launch_slot_: id  2 | task 130 | processing task, is_child = 0
0.03.682.522 I slot      release: id  2 | task 130 | stop processing: n_tokens = 15, truncated = 0
0.03.684.763 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3454666
0.03.684.769 I slot launch_slot_: id  1 | task 132 | processing task, is_child = 0
0.03.708.740 I slot      release: id  1 | task 132 | stop processing: n_tokens = 17, truncated = 0
0.03.710.551 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3474553
0.03.710.560 I slot launch_slot_: id  0 | task 134 | processing task, is_child = 0
0.03.731.583 I slot      release: id  0 | task 134 | stop processing: n_tokens = 14, truncated = 0
0.03.754.477 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3494225
0.03.754.489 I slot launch_slot_: id  3 | task 136 | processing task, is_child = 0
0.03.769.393 I slot      release: id  3 | task 136 | stop processing: n_tokens = 10, truncated = 0
0.03.771.843 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.125 (> 0.100 thold), f_keep = 0.100
0.03.771.850 I slot launch_slot_: id  3 | task 138 | processing task, is_child = 0
0.03.784.150 I slot      release: id  3 | task 138 | stop processing: n_tokens = 8, truncated = 0
0.03.786.610 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3519700
0.03.786.615 I slot launch_slot_: id  2 | task 140 | processing task, is_child = 0
0.03.805.673 I slot      release: id  2 | task 140 | stop processing: n_tokens = 13, truncated = 0
0.03.808.180 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3545918
0.03.808.191 I slot launch_slot_: id  1 | task 142 | processing task, is_child = 0
0.03.828.283 I slot      release: id  1 | task 142 | stop processing: n_tokens = 14, truncated = 0
0.03.848.018 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3568762
0.03.848.024 I slot launch_slot_: id  0 | task 144 | processing task, is_child = 0
0.03.864.259 I slot      release: id  0 | task 144 | stop processing: n_tokens = 12, truncated = 0
0.03.879.643 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 3621329
0.03.879.653 I slot launch_slot_: id  3 | task 146 | processing task, is_child = 0
0.03.898.617 I slot      release: id  3 | task 146 | stop processing: n_tokens = 13, truncated = 0
0.03.901.024 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 3642850
0.03.901.034 I slot launch_slot_: id  2 | task 148 | processing task, is_child = 0
0.03.920.947 I slot      release: id  2 | task 148 | stop processing: n_tokens = 14, truncated = 0
0.03.923.312 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 3665462
0.03.923.321 I slot launch_slot_: id  1 | task 150 | processing task, is_child = 0
0.03.937.988 I slot      release: id  1 | task 150 | stop processing: n_tokens = 10, truncated = 0
0.03.940.444 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.125 (> 0.100 thold), f_keep = 0.100
0.03.940.454 I slot launch_slot_: id  1 | task 152 | processing task, is_child = 0
0.03.952.455 I slot      release: id  1 | task 152 | stop processing: n_tokens = 8, truncated = 0
0.03.954.954 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 3701434
